2024-04-15 11:43:13,976 - INFO - New City Created with the deatils- name=Troy, Mapped State ID=48, Remapped Country ID=US.
2024-04-15 11:43:15,191 - INFO - New City Created with the deatils- name=Troy, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:43:16,371 - INFO - New City Created with the deatils- name=Wheeling, Mapped State ID=55, Remapped Country ID=US.
2024-04-15 11:43:17,572 - INFO - New City Created with the deatils- name=White, Mapped State ID=48, Remapped Country ID=US.
2024-04-15 11:43:18,872 - INFO - New City Created with the deatils- name=Niles, Mapped State ID=42, Remapped Country ID=US.
2024-04-15 11:43:20,076 - INFO - New City Created with the deatils- name=White City, Mapped State ID=23, Remapped Country ID=US.
2024-04-15 11:43:21,279 - INFO - New City Created with the deatils- name=White City, Mapped State ID=24, Remapped Country ID=US.
2024-04-15 11:43:22,477 - INFO - New City Created with the deatils- name=Sidney, Mapped State ID=42, Remapped Country ID=US.
2024-04-15 11:43:23,680 - INFO - New City Created with the deatils- name=Sharpsville, Mapped State ID=21, Remapped Country ID=US.
2024-04-15 11:43:25,001 - INFO - New City Created with the deatils- name=White City, Mapped State ID=29, Remapped Country ID=US.
2024-04-15 11:43:26,192 - INFO - New City Created with the deatils- name=White City, Mapped State ID=31, Remapped Country ID=US.
2024-04-15 11:43:27,381 - INFO - New City Created with the deatils- name=White City, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:43:28,575 - INFO - New City Created with the deatils- name=White City, Mapped State ID=33, Remapped Country ID=US.
2024-04-15 11:43:30,547 - INFO - New City Created with the deatils- name=White City, Mapped State ID=39, Remapped Country ID=US.
2024-04-15 11:43:31,809 - INFO - New City Created with the deatils- name=White City, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:43:33,075 - INFO - New City Created with the deatils- name=White City, Mapped State ID=56, Remapped Country ID=US.
2024-04-15 11:43:34,279 - INFO - New City Created with the deatils- name=White Sulphur Springs, Mapped State ID=55, Remapped Country ID=US.
2024-04-15 11:43:35,482 - INFO - New City Created with the deatils- name=Otsego, Mapped State ID=30, Remapped Country ID=US.
2024-04-15 11:43:36,689 - INFO - New City Created with the deatils- name=Wayland, Mapped State ID=29, Remapped Country ID=US.
2024-04-15 11:43:38,888 - INFO - New City Created with the deatils- name=Scottsville, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:43:40,180 - INFO - New City Created with the deatils- name=Wayland, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:43:41,487 - INFO - New City Created with the deatils- name=Westwood, Mapped State ID=23, Remapped Country ID=US.
2024-04-15 11:43:42,675 - INFO - New City Created with the deatils- name=Williamstown, Mapped State ID=55, Remapped Country ID=US.
2024-04-15 11:43:43,971 - INFO - New City Created with the deatils- name=Wilson, Mapped State ID=14, Remapped Country ID=US.
2024-04-15 11:43:45,175 - INFO - New City Created with the deatils- name=Wilson, Mapped State ID=16, Remapped Country ID=US.
2024-04-15 11:43:46,386 - INFO - New City Created with the deatils- name=Wilson, Mapped State ID=23, Remapped Country ID=US.
2024-04-15 11:43:47,574 - INFO - New City Created with the deatils- name=Wilson, Mapped State ID=40, Remapped Country ID=US.
2024-04-15 11:43:48,874 - INFO - New City Created with the deatils- name=Wilson, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:43:50,145 - INFO - New City Created with the deatils- name=Peru, Mapped State ID=21, Remapped Country ID=US.
2024-04-15 11:43:51,399 - INFO - New City Created with the deatils- name=Clinton, Mapped State ID=51, Remapped Country ID=US.
2024-04-15 11:43:52,571 - INFO - New City Created with the deatils- name=Ashland, Mapped State ID=42, Remapped Country ID=US.
2024-04-15 11:43:53,857 - INFO - New City Created with the deatils- name=College Park , Mapped State ID=17, Remapped Country ID=US.
2024-04-15 11:43:55,018 - ERROR - Error creating City Corinth: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:43:56,166 - INFO - New City Created with the deatils- name=Cornwall, Mapped State ID=69, Remapped Country ID=CA.
2024-04-15 11:43:57,370 - INFO - New City Created with the deatils- name=Cottage Grove, Mapped State ID=44, Remapped Country ID=US.
2024-04-15 11:43:58,587 - INFO - New City Created with the deatils- name=Crosby, Mapped State ID=41, Remapped Country ID=US.
2024-04-15 11:44:00,650 - INFO - New City Created with the deatils- name=Crystal City , Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:44:01,950 - INFO - New City Created with the deatils- name=Collinsville, Mapped State ID=43, Remapped Country ID=US.
2024-04-15 11:44:03,251 - INFO - New City Created with the deatils- name=Columbia, Mapped State ID=21, Remapped Country ID=US.
2024-04-15 11:44:04,574 - INFO - New City Created with the deatils- name=Columbia, Mapped State ID=44, Remapped Country ID=US.
2024-04-15 11:44:05,975 - INFO - New City Created with the deatils- name=Danville, Mapped State ID=20, Remapped Country ID=US.
2024-04-15 11:44:07,181 - INFO - New City Created with the deatils- name=Ashland, Mapped State ID=44, Remapped Country ID=US.
2024-04-15 11:44:08,447 - INFO - New City Created with the deatils- name=Danville, Mapped State ID=24, Remapped Country ID=US.
